id;control;produto;ano;valor
1;VINHO DE MESA;VINHO DE MESA;1970;217208604
2;vm_Tinto;Tinto;1970;174224052
3;vm_Branco;Branco;1970;748400
4;vm_Rosado;Rosado;1970;42236152
5;VINHO FINO DE MESA (VINIFERA);VINHO FINO DE MESA (VINIFERA);1970;23899346
6;vv_Tinto;Tinto;1970;7591557
7;vv_Branco;Branco;1970;15562889
8;vv_Rosado;Rosado;1970;744900
9;SUCO;SUCO;1970;1097771
10;su_Suco de uva simples;Suco de uva integral;1970;1097771
11;su_Suco concentrado;Suco de uva concentrado;1970;0
12;su_Suco de uva adoçado;Suco de uva adoçado;1970;0
13;su_Suco de uva orgânico;Suco de uva orgânico;1970;0
14;su_Suco de uva reconstituído;Suco de uva reconstituído;1970;0
15;DERIVADOS;DERIVADOS;1970;14164329
16;de_Espumante;Espumante;1970;0
17;de_Espumante moscatel;Espumante moscatel;1970;0
18;de_Base espumante;Base espumante;1970;0
19;de_Base espumante moscatel;Base espumante moscatel;1970;0
20;de_Base Champenoise champanha;Base Champenoise champanha;1970;0
21;de_Base Charmat champanha;Base Charmat champanha;1970;0
22;de_Bebida de uva;Bebida de uva;1970;0
23;de_Polpa de uva;Polpa de uva;1970;0
24;de_Mosto simples;Mosto simples;1970;7170736
25;de_Mosto concentrado;Mosto concentrado;1970;0
26;de_Mosto de uva com bagaço;Mosto de uva com bagaço;1970;0
27;de_Mosto dessulfitado;Mosto dessulfitado;1970;0
28;de_Mistelas;Mistelas;1970;1072100
29;de_Néctar de uva;Néctar de uva;1970;0
30;de_Licorosos;Licorosos;1970;282500
31;de_Compostos;Compostos;1970;0
32;de_Jeropiga;Jeropiga;1970;0
33;de_Filtrado;Filtrado;1970;0
34;de_Frisante;Frisante;1970;0
35;de_Vinho leve;Vinho leve;1970;0
36;de_Vinho licoroso;Vinho licoroso;1970;0
37;de_Brandy;Brandy;1970;0
38;de_Destilado;Destilado;1970;830030
39;de_Bagaceira;Bagaceira;1970;961290
40;de_Licor de bagaceira;Licor de bagaceira;1970;0
41;de_Vinagre;Vinagre;1970;0
42;de_Borra líquida;Borra líquida;1970;3847673
43;de_Borra seca;Borra seca;1970;0
44;de_Vinho Composto;Vinho Composto;1970;0
45;de_Pisco;Pisco;1970;0
46;de_Vinho orgânico;Vinho orgânico;1970;0
47;de_Espumante orgânico;Espumante orgânico;1970;0
48;de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;1970;0
49;de_Vinho acidificado ;Vinho acidificado ;1970;0
50;de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;1970;0
51;de_Outros derivados;Outros derivados;1970;0
1;VINHO DE MESA;VINHO DE MESA;1971;154264651
2;vm_Tinto;Tinto;1971;121133369
3;vm_Branco;Branco;1971;1160500
4;vm_Rosado;Rosado;1971;31970782
5;VINHO FINO DE MESA (VINIFERA);VINHO FINO DE MESA (VINIFERA);1971;23586062
6;vv_Tinto;Tinto;1971;7265666
7;vv_Branco;Branco;1971;15655709
8;vv_Rosado;Rosado;1971;664687
9;SUCO;SUCO;1971;2296654
10;su_Suco de uva simples;Suco de uva integral;1971;2296654
11;su_Suco concentrado;Suco de uva concentrado;1971;0
12;su_Suco de uva adoçado;Suco de uva adoçado;1971;0
13;su_Suco de uva orgânico;Suco de uva orgânico;1971;0
14;su_Suco de uva reconstituído;Suco de uva reconstituído;1971;0
15;DERIVADOS;DERIVADOS;1971;13280518
16;de_Espumante;Espumante;1971;0
17;de_Espumante moscatel;Espumante moscatel;1971;0
18;de_Base espumante;Base espumante;1971;0
19;de_Base espumante moscatel;Base espumante moscatel;1971;0
20;de_Base Champenoise champanha;Base Champenoise champanha;1971;0
21;de_Base Charmat champanha;Base Charmat champanha;1971;0
22;de_Bebida de uva;Bebida de uva;1971;0
23;de_Polpa de uva;Polpa de uva;1971;0
24;de_Mosto simples;Mosto simples;1971;7646774
25;de_Mosto concentrado;Mosto concentrado;1971;0
26;de_Mosto de uva com bagaço;Mosto de uva com bagaço;1971;0
27;de_Mosto dessulfitado;Mosto dessulfitado;1971;0
28;de_Mistelas;Mistelas;1971;818400
29;de_Néctar de uva;Néctar de uva;1971;0
30;de_Licorosos;Licorosos;1971;270000
31;de_Compostos;Compostos;1971;45000
32;de_Jeropiga;Jeropiga;1971;0
33;de_Filtrado;Filtrado;1971;0
34;de_Frisante;Frisante;1971;0
35;de_Vinho leve;Vinho leve;1971;0
36;de_Vinho licoroso;Vinho licoroso;1971;0
37;de_Brandy;Brandy;1971;0
38;de_Destilado;Destilado;1971;0
39;de_Bagaceira;Bagaceira;1971;913200
40;de_Licor de bagaceira;Licor de bagaceira;1971;0
41;de_Vinagre;Vinagre;1971;21500
42;de_Borra líquida;Borra líquida;1971;3565644
43;de_Borra seca;Borra seca;1971;0
44;de_Vinho Composto;Vinho Composto;1971;0
45;de_Pisco;Pisco;1971;0
46;de_Vinho orgânico;Vinho orgânico;1971;0
47;de_Espumante orgânico;Espumante orgânico;1971;0
48;de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;1971;0
49;de_Vinho acidificado ;Vinho acidificado ;1971;0
50;de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;1971;0
51;de_Outros derivados;Outros derivados;1971;0
1;VINHO DE MESA;VINHO DE MESA;1972;146953297
2;vm_Tinto;Tinto;1972;118180926
3;vm_Branco;Branco;1972;1812367
4;vm_Rosado;Rosado;1972;26960004
5;VINHO FINO DE MESA (VINIFERA);VINHO FINO DE MESA (VINIFERA);1972;21078771
6;vv_Tinto;Tinto;1972;6782837
7;vv_Branco;Branco;1972;13289304
8;vv_Rosado;Rosado;1972;1006630
9;SUCO;SUCO;1972;3509440
10;su_Suco de uva simples;Suco de uva integral;1972;3509440
11;su_Suco concentrado;Suco de uva concentrado;1972;0
12;su_Suco de uva adoçado;Suco de uva adoçado;1972;0
13;su_Suco de uva orgânico;Suco de uva orgânico;1972;0
14;su_Suco de uva reconstituído;Suco de uva reconstituído;1972;0
15;DERIVADOS;DERIVADOS;1972;12314509
16;de_Espumante;Espumante;1972;0
17;de_Espumante moscatel;Espumante moscatel;1972;0
18;de_Base espumante;Base espumante;1972;0
19;de_Base espumante moscatel;Base espumante moscatel;1972;0
20;de_Base Champenoise champanha;Base Champenoise champanha;1972;0
21;de_Base Charmat champanha;Base Charmat champanha;1972;0
22;de_Bebida de uva;Bebida de uva;1972;0
23;de_Polpa de uva;Polpa de uva;1972;0
24;de_Mosto simples;Mosto simples;1972;6051822
25;de_Mosto concentrado;Mosto concentrado;1972;0
26;de_Mosto de uva com bagaço;Mosto de uva com bagaço;1972;0
27;de_Mosto dessulfitado;Mosto dessulfitado;1972;0
28;de_Mistelas;Mistelas;1972;871200
29;de_Néctar de uva;Néctar de uva;1972;0
30;de_Licorosos;Licorosos;1972;254600
31;de_Compostos;Compostos;1972;1358300
32;de_Jeropiga;Jeropiga;1972;0
33;de_Filtrado;Filtrado;1972;0
34;de_Frisante;Frisante;1972;0
35;de_Vinho leve;Vinho leve;1972;0
36;de_Vinho licoroso;Vinho licoroso;1972;0
37;de_Brandy;Brandy;1972;0
38;de_Destilado;Destilado;1972;0
39;de_Bagaceira;Bagaceira;1972;755350
40;de_Licor de bagaceira;Licor de bagaceira;1972;0
41;de_Vinagre;Vinagre;1972;8200
42;de_Borra líquida;Borra líquida;1972;3015037
43;de_Borra seca;Borra seca;1972;0
44;de_Vinho Composto;Vinho Composto;1972;0
45;de_Pisco;Pisco;1972;0
46;de_Vinho orgânico;Vinho orgânico;1972;0
47;de_Espumante orgânico;Espumante orgânico;1972;0
48;de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;1972;0
49;de_Vinho acidificado ;Vinho acidificado ;1972;0
50;de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;1972;0
51;de_Outros derivados;Outros derivados;1972;0
1;VINHO DE MESA;VINHO DE MESA;1973;116710345
2;vm_Tinto;Tinto;1973;88589019
3;vm_Branco;Branco;1973;243900
4;vm_Rosado;Rosado;1973;27877426
5;VINHO FINO DE MESA (VINIFERA);VINHO FINO DE MESA (VINIFERA);1973;12368410
6;vv_Tinto;Tinto;1973;3419625
7;vv_Branco;Branco;1973;7930070
8;vv_Rosado;Rosado;1973;1018715
9;SUCO;SUCO;1973;0
10;su_Suco de uva simples;Suco de uva integral;1973;0
11;su_Suco concentrado;Suco de uva concentrado;1973;0
12;su_Suco de uva adoçado;Suco de uva adoçado;1973;0
13;su_Suco de uva orgânico;Suco de uva orgânico;1973;0
14;su_Suco de uva reconstituído;Suco de uva reconstituído;1973;0
15;DERIVADOS;DERIVADOS;1973;28317919
16;de_Espumante;Espumante;1973;0
17;de_Espumante moscatel;Espumante moscatel;1973;0
18;de_Base espumante;Base espumante;1973;0
19;de_Base espumante moscatel;Base espumante moscatel;1973;0
20;de_Base Champenoise champanha;Base Champenoise champanha;1973;0
21;de_Base Charmat champanha;Base Charmat champanha;1973;0
22;de_Bebida de uva;Bebida de uva;1973;0
23;de_Polpa de uva;Polpa de uva;1973;0
24;de_Mosto simples;Mosto simples;1973;21779327
25;de_Mosto concentrado;Mosto concentrado;1973;0
26;de_Mosto de uva com bagaço;Mosto de uva com bagaço;1973;0
27;de_Mosto dessulfitado;Mosto dessulfitado;1973;0
28;de_Mistelas;Mistelas;1973;512900
29;de_Néctar de uva;Néctar de uva;1973;0
30;de_Licorosos;Licorosos;1973;176500
31;de_Compostos;Compostos;1973;1628000
32;de_Jeropiga;Jeropiga;1973;0
33;de_Filtrado;Filtrado;1973;0
34;de_Frisante;Frisante;1973;0
35;de_Vinho leve;Vinho leve;1973;0
36;de_Vinho licoroso;Vinho licoroso;1973;0
37;de_Brandy;Brandy;1973;0
38;de_Destilado;Destilado;1973;0
39;de_Bagaceira;Bagaceira;1973;661270
40;de_Licor de bagaceira;Licor de bagaceira;1973;0
41;de_Vinagre;Vinagre;1973;0
42;de_Borra líquida;Borra líquida;1973;3559922
43;de_Borra seca;Borra seca;1973;0
44;de_Vinho Composto;Vinho Composto;1973;0
45;de_Pisco;Pisco;1973;0
46;de_Vinho orgânico;Vinho orgânico;1973;0
47;de_Espumante orgânico;Espumante orgânico;1973;0
48;de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;1973;0
49;de_Vinho acidificado ;Vinho acidificado ;1973;0
50;de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;1973;0
51;de_Outros derivados;Outros derivados;1973;0
1;VINHO DE MESA;VINHO DE MESA;1974;193875345
2;vm_Tinto;Tinto;1974;146544484
3;vm_Branco;Branco;1974;4138768
4;vm_Rosado;Rosado;1974;43192093
5;VINHO FINO DE MESA (VINIFERA);VINHO FINO DE MESA (VINIFERA);1974;31644124
6;vv_Tinto;Tinto;1974;10047658
7;vv_Branco;Branco;1974;18927471
8;vv_Rosado;Rosado;1974;2668995
