id;control;cultivar;ano;Quantidade (Kg)
1;TINTAS;TINTAS;1970;284285642
2;ti_Bacarina;Bacarina;1970;82899
3;ti_Bailey;Bailey;1970;0
4;ti_Bordo;Bordo;1970;7242197
5;ti_Bourdin (S);Bourdin (S);1970;0
6;ti_BRSCarmen;BRS Carmen;1970;0
7;ti_BRSCora;BRS Cora;1970;0
8;ti_BRS Magna;BRS Magna;1970;0
9;ti_BRS Margot;BRS Margot;1970;0
10;ti_BRSMorena;BRS Morena;1970;0
29;ti_BRS Núbia ;BRS Núbia ;1970;0
11;ti_BRS Rúbea;BRS Rúbea;1970;0
12;ti_BRSVioleta;BRS Violeta;1970;0
13;ti_BRS Vitória;BRS Vitória;1970;0
15;ti_Champagnon(Champanheta);Champagnon (Champanheta);1970;0
16;ti_Coleções;Coleções;1970;0
17;ti_Concord;Concord;1970;5407624
18;ti_Concordclone30;Concord clone 30;1970;0
19;ti_Couderc;Couderc;1970;2713692
20;ti_Cynthiana(1);Cynthiana(1);1970;568653
21;ti_Herbemont;Herbemont;1970;62053013
22;ti_IAC138022;IAC 138022;1970;0
23;ti_Isabel;Isabel;1970;193840398
24;ti_IsabelPrecoce;Isabel Precoce;1970;0
25;ti_Jacquez;Jacquez;1970;390593
26;ti_Kyoko;Kyoko;1970;0
27;ti_Landot;Landot;1970;134384
28;ti_Mistura de uvas americanas tinto;Mistura de uvas americanas tinto;1970;0
29;ti_Oberlin;Oberlin;1970;15682
30;ti_Othello;Othello;1970;33013
31;ti_Paco;Paco;1970;0
32;ti_Patricia;Patricia;1970;0
33;ti_Seibel;Seibel;1970;11803494
34;ti_Seibel2(seibeleto);Seibel 2 (seibeleto);1970;0
35;ti_SeyveWillard(Tinta);Seyve Willard (Tinta);1970;0
36;ti_Vênus;Vênus;1970;0
37;BRANCASEROSADAS;BRANCAS E ROSADAS;1970;985007
38;br_Baco;Baco;1970;4647
39;br_Bokay;Bokay;1970;0
40;br_BRS Bibiana ;BRS Bibiana ;1970;0
41;br_BRSClara;BRS Clara;1970;0
42;br_BRSLorena;BRS Lorena;1970;0
43;br_Couderc13;Couderc 13;1970;0
44;br_Delaware;Delaware;1970;22705
45;br_DonaZillá;Dona Zillá;1970;0
46;br_DutChess;Dut Chess;1970;0
