id;control;cultivar;ano;Quantidade (Kg)
1;sc;Sem classificação;1970;3675463
1;sc;Sem classificação;1971;665425
1;sc;Sem classificação;1972;197232
1;sc;Sem classificação;1973;491357
1;sc;Sem classificação;1974;57307
1;sc;Sem classificação;1975;540146
1;sc;Sem classificação;1976;24440
1;sc;Sem classificação;1977;9743
1;sc;Sem classificação;1978;85475
1;sc;Sem classificação;1979;2317099
1;sc;Sem classificação;1980;306970
1;sc;Sem classificação;1981;494703
1;sc;Sem classificação;1982;1719913
1;sc;Sem classificação;1983;21742
1;sc;Sem classificação;1984;99929
1;sc;Sem classificação;1985;104929
1;sc;Sem classificação;1986;12689
1;sc;Sem classificação;1987;99743
1;sc;Sem classificação;1988;0
1;sc;Sem classificação;1989;0
1;sc;Sem classificação;1990;0
1;sc;Sem classificação;1991;0
1;sc;Sem classificação;1992;0
1;sc;Sem classificação;1993;0
1;sc;Sem classificação;1994;0
1;sc;Sem classificação;1995;0
1;sc;Sem classificação;1996;0
1;sc;Sem classificação;1997;0
1;sc;Sem classificação;1998;0
1;sc;Sem classificação;1999;0
1;sc;Sem classificação;2000;152517
1;sc;Sem classificação;2001;0
1;sc;Sem classificação;2002;0
1;sc;Sem classificação;2003;0
1;sc;Sem classificação;2004;0
1;sc;Sem classificação;2005;0
1;sc;Sem classificação;2006;0
1;sc;Sem classificação;2007;0
1;sc;Sem classificação;2008;0
1;sc;Sem classificação;2009;0
1;sc;Sem classificação;2010;0
1;sc;Sem classificação;2011;0
1;sc;Sem classificação;2012;0
1;sc;Sem classificação;2013;0
1;sc;Sem classificação;2014;0
1;sc;Sem classificação;2015;0
1;sc;Sem classificação;2016;0
1;sc;Sem classificação;2017;0
1;sc;Sem classificação;2018;0
1;sc;Sem classificação;2019;nd
1;sc;Sem classificação;2020;166947
1;sc;Sem classificação;2021;0
1;sc;Sem classificação;2022;*
1;sc;Sem classificação;2023;0
