id;control;cultivar;ano;Quantidade (Kg)
1;TINTAS;TINTAS;1970;56976
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1970;31878
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1970;25098
4;BRANCAS;BRANCAS;1970;3900
5;br_Cardinal; Cardinal;1970;0
6;br_Golden Queen; Golden Queen;1970;167
7;br_Patrícia; Patrícia;1970;0
8;br_Perlona; Perlona;1970;0
9;br_Italia; Italia;1970;3733
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1970;0
1;TINTAS;TINTAS;1971;43390
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1971;2333
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1971;41057
4;BRANCAS;BRANCAS;1971;16335
5;br_Cardinal; Cardinal;1971;0
6;br_Golden Queen; Golden Queen;1971;8654
7;br_Patrícia; Patrícia;1971;0
8;br_Perlona; Perlona;1971;0
9;br_Italia; Italia;1971;7681
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1971;0
1;TINTAS;TINTAS;1972;4428
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1972;170
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1972;4258
4;BRANCAS;BRANCAS;1972;6829
5;br_Cardinal; Cardinal;1972;0
6;br_Golden Queen; Golden Queen;1972;657
7;br_Patrícia; Patrícia;1972;0
8;br_Perlona; Perlona;1972;4027
9;br_Italia; Italia;1972;2145
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1972;0
1;TINTAS;TINTAS;1973;8939
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1973;7690
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1973;1249
4;BRANCAS;BRANCAS;1973;8052
5;br_Cardinal; Cardinal;1973;0
6;br_Golden Queen; Golden Queen;1973;7312
7;br_Patrícia; Patrícia;1973;0
8;br_Perlona; Perlona;1973;0
9;br_Italia; Italia;1973;740
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1973;0
1;TINTAS;TINTAS;1974;125563
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1974;124762
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1974;801
4;BRANCAS;BRANCAS;1974;278951
5;br_Cardinal; Cardinal;1974;0
