id;control;cultivar;ano;Quantidade (Kg)
1;TINTAS;TINTAS;1970;10448228
2;ti_Alicante Bouschet;Alicante Bouschet;1970;0
3;ti_Ancelota;Ancelota;1970;0
4;ti_Aramon;Aramon;1970;0
5;ti_Alfrocheiro;Alfrocheiro;1970;0
6;ti_Arinarnoa;Arinarnoa;1970;0
7;ti_Aspirant Bouschet;Aspirant Bouschet;1970;0
8;ti_Barbera;Barbera;1970;4548313
9;ti_Bonarda;Bonarda;1970;1631610
10;ti_Cabernet Franc;Cabernet Franc;1970;238837
11;ti_Cabernet Sauvignon;Cabernet Sauvignon;1970;0
12;ti_ Caladoc;Caladoc;1970;0
13;ti_Campanario;Campanario;1970;0
14;ti_Canaiolo;Canaiolo;1970;596766
15;ti_Carignan;Carignan;1970;0
16;ti_Carmenere;Carmenere;1970;1235
17;ti_Castelão;Castelão;1970;0
18;ti_Corvina;Corvina;1970;0
19;ti_Croatina;Croatina;1970;0
20;ti_Cinsaut;Cinsaut;1970;0
21;ti_Dom Felder;Dom Felder;1970;0
22;ti_Dolcetto;Dolcetto;1970;0
23;ti_Durif;Durif;1970;0
24;ti_Egiodola;Egiodola;1970;0
25;ti_Ekigaina;Ekigaina;1970;0
26;ti_Festival (Sugraone);Festival (Sugraone);1970;0
27;ti_Franconia;Franconia;1970;0
28;ti_Freisa;Freisa;1970;1661
29;ti_Gamay St Romain;Gamay St Romain;1970;0
30;ti_Gamay Beaujolais;Gamay Beaujolais;1970;0
31;ti_Grand Noir;Grand Noir;1970;0
32;ti_Grenache;Grenache;1970;19753
33;ti_Jaen;Jaen;1970;0
34;ti_Lagrein;Lagrein;1970;0
35;ti_Lambrusco;Lambrusco;1970;2259
36;ti_Malbec;Malbec;1970;4097
37;ti_Marzemina;Marzemina;1970;62546
38;ti_Merlot;Merlot;1970;185596
39;ti_Marselan;Marselan;1970;0
40;ti_Mistura de uvas viníferas tinto ;Mistura de uvas viníferas tinto ;1970;0
41;ti_Molinera;Molinera;1970;0
42;ti_Montepulciano;Montepulciano;1970;0
43;ti_Moscato Bailey;Moscato Bailey;1970;0
44;ti_Napa Gamay;Napa Gamay;1970;0
45;ti_Nebbiolo;Nebbiolo;1970;0
46;ti_Petit Verdot;Petit Verdot;1970;0
47;ti_Petite Sirah;Petite Sirah;1970;0
48;ti_Pinotage;Pinotage;1970;0
49;ti_Pinot Noir;Pinot Noir;1970;0
50;ti_Pinot Saint George;Pinot Saint George;1970;0
51;ti_Piriquita;Piriquita;1970;0
52;ti_Primitivo;Primitivo;1970;0
53;ti_Rebo;Rebo;1970;0
54;ti_Refosco;Refosco;1970;0
55;ti_Rondinella;Rondinella;1970;0
56;ti_Ruby Cabernet;Ruby Cabernet;1970;0
57;ti_Sangiovese;Sangiovese;1970;27566
58;ti_Saperavi ;Saperavi ;1970;0
59;ti_Sira (falsa);Sira (falsa);1970;3127989
60;ti_Tannat;Tannat;1970;0
61;ti_Tempranillo;Tempranillo;1970;0
62;ti_Teroldego;Teroldego;1970;0
63;ti_Torrontes;Torrontes;1970;0
64;ti_Tinta Barroca;Tinta Barroca;1970;0
65;ti_Tinta Roriz ;Tinta Roriz ;1970;0
66;ti_Touriga Francesa;Touriga Francesa;1970;0
67;ti_Touriga Nacional;Touriga Nacional;1970;0
68;ti_Tinta Madeira;Tinta Madeira;1970;0
69;ti_Tintoria;Tintoria;1970;0
70;ti_Trincdeira;Trincdeira;1970;0
71;ti_Trousseau;Trousseau;1970;0
72;ti_Zinfandel;Zinfandel;1970;0
73;ti_Outras1;Outras1;1970;0
74;BRANCASEROSADAS;BRANCAS E ROSADAS;1970;18858541
75;br_Aliatico;Aliatico;1970;0
76;br_Aligote;Aligote;1970;530
77;br_Altesse;Altesse;1970;0
78;br_Alvarinho;Alvarinho;1970;0
79;br_Arriloba;Arriloba;1970;0
80;br_Auxerrois;Auxerrois;1970;0
81;br_Burger;Burger;1970;0
82;br_Chardonnay;Chardonnay;1970;0
83;br_Chasselas;Chasselas;1970;0
84;br_Chenin Blanc;Chenin Blanc;1970;0
85;br_Clairette(1);Clairette(1);1970;146617
86;br_Colombard;Colombard;1970;0
87;br_Flora;Flora;1970;0
88;br_Garganega;Garganega;1970;0
89;br_Gewurztraminer;Gewurztraminer;1970;0
90;br_Gouveio;Gouveio;1970;0
91;br_Gros Manseng;Gros Manseng;1970;0
92;br_Italia (Pirovano 65) (PE);Italia (Pirovano 65) (PE);1970;0
93;br_Maccabeo;Maccabeo;1970;0
94;br_Malvasia;Malvasia;1970;878012
95;br_Malvasia Amarela;Malvasia Amarela;1970;0
96;br_Malvasia Bianca;Malvasia Bianca;1970;0
97;br_Malvasia Chianti;Malvasia Chianti;1970;0
98;br_Malvasia Verde;Malvasia Verde;1970;0
99;br_Malvasia di Candia;Malvasia di Candia;1970;0
100;br_Malvasia Istriana;Malvasia Istriana;1970;0
101;br_Mistura de uvas viníferas;Mistura de uvas viníferas branco;1970;0
102;br_Mistura de uvas viníferas;Mistura de uvas viníferas rosado;1970;0
103;br_Moscato_branco;Moscato Branco;1970;5772931
104;br_Moscato Canelli;Moscato Canelli;1970;0
105;br_Moscato Giallo;Moscato Giallo;1970;0
106;br_Moscato Nazareno;Moscato Nazareno;1970;0
107;br_Moscato Bianco R2;Moscato Bianco R2;1970;0
108;br_Moscato de Alexandria;Moscato de Alexandria;1970;0
109;br_Moscato Rosado;Moscato Rosado;1970;0
110;br_Muscat a Petits Grains;Muscat à Petits Grains;1970;0
111;br_Muller Thurgau;Muller Thurgau;1970;0
112;br_Muscadelle;Muscadelle;1970;0
113;br_Ora;Ora;1970;0
114;br_Palomino;Palomino;1970;0
115;br_Petit Manseng;Petit Manseng;1970;0
116;br_Peverella;Peverella;1970;2084128
117;br_Pinot Blanc;Pinot Blanc;1970;4000
118;br_Pinot Gris;Pinot Gris;1970;0
119;br_Prosecco;Prosecco;1970;0
120;br_Red Veltliner;Red Veltliner;1970;0
121;br_Riesling Italico;Riesling Italico;1970;413149
122;br_Riesling Renano;Riesling Renano;1970;0
123;br_Sauvignon Blanc(2);Sauvignon Blanc(2);1970;2819
124;br_Sauvignon Gris;Sauvignon Gris;1970;0
125;br_Seara Nova;Seara Nova;1970;0
126;br_Semillon;Semillon;1970;1916
