id;control;Produto;ano;valor
1;VINHO DE MESA;VINHO DE MESA;1970;98327606
2;vm_Tinto;  Tinto;1970;83300735
3;vm_Rosado;  Rosado;1970;107681
4;vm_Branco;  Branco;1970;14919190
5;VINHO  FINO DE MESA;VINHO  FINO DE MESA;1970;4430629
6;vm_Tinto;  Tinto;1970;435354
7;vm_Rosado;  Rosado;1970;183234
8;vm_Branco;  Branco;1970;3812041
9;VINHO FRIZANTE;VINHO FRIZANTE;1970;466480
10;VINHO ORGÂNICO;VINHO ORGÂNICO;1970;0
11;VINHO ESPECIAL;VINHO ESPECIAL;1970;7325789
12;ve_Tinto;  Tinto;1970;4730346
13;ve_Rosado;  Rosado;1970;1229564
14;ve_Branco;  Branco;1970;1365879
15;ESPUMANTES ;ESPUMANTES ;1970;2743678
16;es_Espumante_Moscatel;  Espumante  Moscatel;1970;0
17;es_Espumante;  Espumante;1970;0
18;es_Espumante Orgânico;  Espumante Orgânico;1970;0
19;SUCO DE UVAS;SUCO DE UVAS;1970;2626855
20;su_Suco_Natural;  Suco Natural Integral;1970;0
21;su_Suco_Adoçado;  Suco Adoçado;1970;0
22;su_Suco_Reprocessado;  Suco Reprocessado/reconstituido;1970;0
23;su_Suco_Orgânico;  Suco Orgânico;1970;0
24;su_Outros_sucos;  Outros sucos de uvas;1970;0
25;SUCO DE UVAS CONCENTRADO;SUCO DE UVAS CONCENTRADO;1970;0
26;;OUTROS PRODUTOS COMERCIALIZADOS;1970;19844550
27;ou_Outros vinhos (sem informdetalhada;  Outros vinhos (sem informação detalhada);1970;0
28;ou_Agrin;  Agrin (fermentado, acetico misto);1970;0
29;ou_Aguardente;  Aguardente de vinho 50°gl;1970;0
30;ou_Alcool_vinico;  Alcool vinico;1970;0
31;ou_Bagaceira;  Bagaceira (graspa);1970;1192987
32;ou_Base_champenoise;  Base champenoise champanha;1970;0
33;ou_Base_charmat;  Base charmat champanha;1970;0
34;ou_Base_espumante;  Base espumante moscatel;1970;0
35;ou_Bebida;  Bebida de uva;1970;0
36;ou_Borra_liqwuida;  Borra líquida;1970;0
37;ou_Borra_seca;  Borra seca;1970;0
38;ou_Brandy;  Brandy (conhaque);1970;9388296
39;ou_Cooler;  Cooler;1970;0
40;ou_Coquetel;  Coquetel com vinho;1970;0
41;ou_Destilado;  Destilado de vinho;1970;533987
42;ou_Filtrado_doce;  Filtrado doce;1970;346403
43;ou_Jeropiga;  Jeropiga;1970;0
44;ou_Mistelas;  Mistelas;1970;178350
45;ou_Mosto_concentrado;  Mosto concentrado;1970;44971
46;ou_Mosto_uva;  Mosto de uva;1970;0
47;ou_Mosto_sulfitado;  Mosto sulfitado;1970;401030
48;ou_Nectar;  Nectar de uva;1970;0
49;ou_Outros_produtos;  Outros produtos;1970;0
50;ou_Polpa;  Polpa de uva;1970;0
51;ou_Preparado_líquido;  Preparado líquido para refresco;1970;0
52;ou_Refrigerante;  Refrigerante +50% suco;1970;0
53;ou_Sangria;  Sangria;1970;0
54;ou_Vinagre_balsamico;  Vinagre balsamico;1970;0
55;ou_Vinagre_duplo;  Vinagre duplo;1970;0
56;ou_Vinagre_simples;  Vinagre simples;1970;1359297
57;ou_Vinho_acetificado;  Vinho acetificado;1970;0
58;ou_Vinho_base;  Vinho base para espumantes;1970;0
59;ou_Vinho_composto;  Vinho composto;1970;3386173
60;ou_Vinho_licoroso;  Vinho licoroso;1970;3013056
61;ou_Vinho_leve;  Vinho leve;1970;0
62;ou_Vinho_gaseificado;  Vinho gaseificado;1970;0
1;VINHO DE MESA;VINHO DE MESA;1971;114399031
2;vm_Tinto;  Tinto;1971;98522869
3;vm_Rosado;  Rosado;1971;542274
4;vm_Branco;  Branco;1971;15333888
5;VINHO  FINO DE MESA;VINHO  FINO DE MESA;1971;4840369
6;vm_Tinto;  Tinto;1971;428927
7;vm_Rosado;  Rosado;1971;227299
8;vm_Branco;  Branco;1971;4184143
9;VINHO FRIZANTE;VINHO FRIZANTE;1971;358116
10;VINHO ORGÂNICO;VINHO ORGÂNICO;1971;0
11;VINHO ESPECIAL;VINHO ESPECIAL;1971;7824931
12;ve_Tinto;  Tinto;1971;4802828
13;ve_Rosado;  Rosado;1971;1662821
14;ve_Branco;  Branco;1971;1359282
15;ESPUMANTES ;ESPUMANTES ;1971;2907289
16;es_Espumante_Moscatel;  Espumante  Moscatel;1971;0
17;es_Espumante;  Espumante;1971;0
18;es_Espumante Orgânico;  Espumante Orgânico;1971;0
19;SUCO DE UVAS;SUCO DE UVAS;1971;2745249
20;su_Suco_Natural;  Suco Natural Integral;1971;0
21;su_Suco_Adoçado;  Suco Adoçado;1971;0
22;su_Suco_Reprocessado;  Suco Reprocessado/reconstituido;1971;0
23;su_Suco_Orgânico;  Suco Orgânico;1971;0
24;su_Outros_sucos;  Outros sucos de uvas;1971;0
25;SUCO DE UVAS CONCENTRADO;SUCO DE UVAS CONCENTRADO;1971;0
26;;OUTROS PRODUTOS COMERCIALIZADOS;1971;20351384
27;ou_Outros vinhos (sem informdetalhada;  Outros vinhos (sem informação detalhada);1971;0
28;ou_Agrin;  Agrin (fermentado, acetico misto);1971;0
29;ou_Aguardente;  Aguardente de vinho 50°gl;1971;0
30;ou_Alcool_vinico;  Alcool vinico;1971;0
31;ou_Bagaceira;  Bagaceira (graspa);1971;1111014
32;ou_Base_champenoise;  Base champenoise champanha;1971;0
33;ou_Base_charmat;  Base charmat champanha;1971;0
34;ou_Base_espumante;  Base espumante moscatel;1971;0
35;ou_Bebida;  Bebida de uva;1971;0
36;ou_Borra_liqwuida;  Borra líquida;1971;0
37;ou_Borra_seca;  Borra seca;1971;0
38;ou_Brandy;  Brandy (conhaque);1971;9893167
39;ou_Cooler;  Cooler;1971;0
40;ou_Coquetel;  Coquetel com vinho;1971;0
41;ou_Destilado;  Destilado de vinho;1971;1023876
42;ou_Filtrado_doce;  Filtrado doce;1971;432991
43;ou_Jeropiga;  Jeropiga;1971;0
44;ou_Mistelas;  Mistelas;1971;81510
45;ou_Mosto_concentrado;  Mosto concentrado;1971;20502
46;ou_Mosto_uva;  Mosto de uva;1971;0
47;ou_Mosto_sulfitado;  Mosto sulfitado;1971;410850
48;ou_Nectar;  Nectar de uva;1971;0
49;ou_Outros_produtos;  Outros produtos;1971;0
50;ou_Polpa;  Polpa de uva;1971;0
51;ou_Preparado_líquido;  Preparado líquido para refresco;1971;0
52;ou_Refrigerante;  Refrigerante +50% suco;1971;0
53;ou_Sangria;  Sangria;1971;0
54;ou_Vinagre_balsamico;  Vinagre balsamico;1971;0
55;ou_Vinagre_duplo;  Vinagre duplo;1971;0
56;ou_Vinagre_simples;  Vinagre simples;1971;1256068
57;ou_Vinho_acetificado;  Vinho acetificado;1971;0
58;ou_Vinho_base;  Vinho base para espumantes;1971;0
59;ou_Vinho_composto;  Vinho composto;1971;3645774
60;ou_Vinho_licoroso;  Vinho licoroso;1971;2475632
61;ou_Vinho_leve;  Vinho leve;1971;0
62;ou_Vinho_gaseificado;  Vinho gaseificado;1971;0
1;VINHO DE MESA;VINHO DE MESA;1972;118377367
2;vm_Tinto;  Tinto;1972;101167932
3;vm_Rosado;  Rosado;1972;7770851
4;vm_Branco;  Branco;1972;9438584
5;VINHO  FINO DE MESA;VINHO  FINO DE MESA;1972;5602091
6;vm_Tinto;  Tinto;1972;624499
7;vm_Rosado;  Rosado;1972;403664
8;vm_Branco;  Branco;1972;4573928
9;VINHO FRIZANTE;VINHO FRIZANTE;1972;356340
10;VINHO ORGÂNICO;VINHO ORGÂNICO;1972;0
11;VINHO ESPECIAL;VINHO ESPECIAL;1972;8737605
12;ve_Tinto;  Tinto;1972;4347706
13;ve_Rosado;  Rosado;1972;1901801
14;ve_Branco;  Branco;1972;2488098
15;ESPUMANTES ;ESPUMANTES ;1972;3523335
16;es_Espumante_Moscatel;  Espumante  Moscatel;1972;0
17;es_Espumante;  Espumante;1972;0
18;es_Espumante Orgânico;  Espumante Orgânico;1972;0
19;SUCO DE UVAS;SUCO DE UVAS;1972;4069351
20;su_Suco_Natural;  Suco Natural Integral;1972;0
21;su_Suco_Adoçado;  Suco Adoçado;1972;0
22;su_Suco_Reprocessado;  Suco Reprocessado/reconstituido;1972;0
23;su_Suco_Orgânico;  Suco Orgânico;1972;0
24;su_Outros_sucos;  Outros sucos de uvas;1972;0
25;SUCO DE UVAS CONCENTRADO;SUCO DE UVAS CONCENTRADO;1972;59044
26;;OUTROS PRODUTOS COMERCIALIZADOS;1972;23615205
27;ou_Outros vinhos (sem informdetalhada;  Outros vinhos (sem informação detalhada);1972;0
28;ou_Agrin;  Agrin (fermentado, acetico misto);1972;0
29;ou_Aguardente;  Aguardente de vinho 50°gl;1972;0
30;ou_Alcool_vinico;  Alcool vinico;1972;0
31;ou_Bagaceira;  Bagaceira (graspa);1972;1059696
32;ou_Base_champenoise;  Base champenoise champanha;1972;0
33;ou_Base_charmat;  Base charmat champanha;1972;0
34;ou_Base_espumante;  Base espumante moscatel;1972;0
35;ou_Bebida;  Bebida de uva;1972;0
36;ou_Borra_liqwuida;  Borra líquida;1972;0
37;ou_Borra_seca;  Borra seca;1972;0
38;ou_Brandy;  Brandy (conhaque);1972;11876098
39;ou_Cooler;  Cooler;1972;0
40;ou_Coquetel;  Coquetel com vinho;1972;0
41;ou_Destilado;  Destilado de vinho;1972;1573023
42;ou_Filtrado_doce;  Filtrado doce;1972;670626
43;ou_Jeropiga;  Jeropiga;1972;0
44;ou_Mistelas;  Mistelas;1972;133865
45;ou_Mosto_concentrado;  Mosto concentrado;1972;0
46;ou_Mosto_uva;  Mosto de uva;1972;0
47;ou_Mosto_sulfitado;  Mosto sulfitado;1972;447600
48;ou_Nectar;  Nectar de uva;1972;0
49;ou_Outros_produtos;  Outros produtos;1972;0
50;ou_Polpa;  Polpa de uva;1972;0
51;ou_Preparado_líquido;  Preparado líquido para refresco;1972;0
