Id;País;ano;Quantidade (Kg)
1;Africa do Sul;1970;0
2;Alemanha;1970;0
3;Argentina;1970;0
4;Austria;1970;0
5;Canadá;1970;0
6;Coreia do Sul, República;1970;0
7;Coreia do Norte, República;1970;0
8;Chile;1970;0
9;China;1970;0
10;Dinamarca;1970;0
11;Espanha;1970;0
12;Estados Unidos;1970;0
13;França;1970;0
14;Guiana;1970;0
15;Israel;1970;0
16;itália;1970;0
17;Japão;1970;0
18;Líbano;1970;0
19;México;1970;0
20;Países Baixos;1970;0
21;Panamá;1970;0
22;Peru;1970;0
23;Portugal;1970;0
24;Reino Unido;1970;0
25;Taiwan;1970;0
26;Turquia;1970;0
27;Uruguai;1970;0
28;Venezuela;1970;0
29;Outros;1970;0
1;Africa do Sul;1970;0
2;Alemanha;1970;0
3;Argentina;1970;0
4;Austria;1970;0
5;Canadá;1970;0
6;Coreia do Sul, República;1970;0
7;Coreia do Norte, República;1970;0
8;Chile;1970;0
9;China;1970;0
10;Dinamarca;1970;0
11;Espanha;1970;0
12;Estados Unidos;1970;0
13;França;1970;0
14;Guiana;1970;0
15;Israel;1970;0
16;itália;1970;0
17;Japão;1970;0
18;Líbano;1970;0
19;México;1970;0
20;Países Baixos;1970;0
21;Panamá;1970;0
22;Peru;1970;0
23;Portugal;1970;0
24;Reino Unido;1970;0
25;Taiwan;1970;0
26;Turquia;1970;0
27;Uruguai;1970;0
28;Venezuela;1970;0
29;Outros;1970;0
1;Africa do Sul;1971;0
2;Alemanha;1971;0
3;Argentina;1971;0
4;Austria;1971;0
5;Canadá;1971;0
6;Coreia do Sul, República;1971;0
7;Coreia do Norte, República;1971;0
8;Chile;1971;0
9;China;1971;0
10;Dinamarca;1971;34
11;Espanha;1971;0
12;Estados Unidos;1971;210
13;França;1971;81
14;Guiana;1971;0
15;Israel;1971;0
16;itália;1971;0
17;Japão;1971;0
18;Líbano;1971;0
19;México;1971;0
20;Países Baixos;1971;0
21;Panamá;1971;0
22;Peru;1971;0
23;Portugal;1971;160
24;Reino Unido;1971;0
25;Taiwan;1971;0
26;Turquia;1971;0
27;Uruguai;1971;0
28;Venezuela;1971;0
29;Outros;1971;0
1;Africa do Sul;1971;0
2;Alemanha;1971;0
3;Argentina;1971;0
4;Austria;1971;0
5;Canadá;1971;0
6;Coreia do Sul, República;1971;0
7;Coreia do Norte, República;1971;0
8;Chile;1971;0
9;China;1971;0
10;Dinamarca;1971;16
11;Espanha;1971;0
12;Estados Unidos;1971;777
13;França;1971;48
14;Guiana;1971;0
15;Israel;1971;0
16;itália;1971;0
17;Japão;1971;0
18;Líbano;1971;0
19;México;1971;0
20;Países Baixos;1971;0
21;Panamá;1971;0
22;Peru;1971;0
23;Portugal;1971;109
24;Reino Unido;1971;0
25;Taiwan;1971;0
26;Turquia;1971;0
27;Uruguai;1971;0
28;Venezuela;1971;0
29;Outros;1971;0
1;Africa do Sul;1972;0
2;Alemanha;1972;0
3;Argentina;1972;0
4;Austria;1972;0
5;Canadá;1972;0
6;Coreia do Sul, República;1972;0
7;Coreia do Norte, República;1972;0
8;Chile;1972;0
9;China;1972;0
10;Dinamarca;1972;20
11;Espanha;1972;0
12;Estados Unidos;1972;0
13;França;1972;36
14;Guiana;1972;0
15;Israel;1972;0
16;itália;1972;0
17;Japão;1972;0
18;Líbano;1972;0
19;México;1972;0
20;Países Baixos;1972;0
21;Panamá;1972;0
22;Peru;1972;0
23;Portugal;1972;125
24;Reino Unido;1972;458
25;Taiwan;1972;0
26;Turquia;1972;0
27;Uruguai;1972;0
28;Venezuela;1972;0
29;Outros;1972;0
1;Africa do Sul;1972;0
2;Alemanha;1972;0
3;Argentina;1972;0
