Id;País;ano;Quantidade (Kg)
1;Argélia;1970;0
2;Argentina;1970;2412831
3;Brasil;1970;0
4;Chile;1970;1557316
5;Colômbia;1970;0
6;Egito;1970;0
7;Espanha;1970;1231522
8;Estados Unidos;1970;94669
9;Grécia;1970;126248
10;Itália;1970;0
11;México;1970;23240
12;Peru;1970;0
13;Paraguai;1970;0
14;Portugal;1970;28150
15;Panamá;1970;0
16;Reino Unido;1970;0
17;Uruguai;1970;0
18;Venezuela;1970;0
19;Não consta na tabela;1970;0
20;Outros;1970;0
1;Argélia;1970;0
2;Argentina;1970;782408
3;Brasil;1970;0
4;Chile;1970;409704
5;Colômbia;1970;0
6;Egito;1970;0
7;Espanha;1970;404105
8;Estados Unidos;1970;39610
9;Grécia;1970;25488
10;Itália;1970;0
11;México;1970;11024
12;Peru;1970;0
13;Paraguai;1970;0
14;Portugal;1970;13872
15;Panamá;1970;0
16;Reino Unido;1970;0
17;Uruguai;1970;0
18;Venezuela;1970;0
19;Não consta na tabela;1970;0
20;Outros;1970;0
1;Argélia;1971;0
2;Argentina;1971;1805310
3;Brasil;1971;0
4;Chile;1971;1485897
5;Colômbia;1971;3312
6;Egito;1971;0
7;Espanha;1971;1371457
8;Estados Unidos;1971;12403
9;Grécia;1971;74700
10;Itália;1971;9960
11;México;1971;12000
12;Peru;1971;0
13;Paraguai;1971;0
14;Portugal;1971;800
15;Panamá;1971;0
16;Reino Unido;1971;0
17;Uruguai;1971;0
18;Venezuela;1971;400
19;Não consta na tabela;1971;0
20;Outros;1971;0
1;Argélia;1971;0
2;Argentina;1971;684328
3;Brasil;1971;0
4;Chile;1971;381705
5;Colômbia;1971;2168
6;Egito;1971;0
7;Espanha;1971;433924
8;Estados Unidos;1971;5760
9;Grécia;1971;14940
10;Itália;1971;1195
11;México;1971;4800
12;Peru;1971;0
13;Paraguai;1971;0
14;Portugal;1971;438
15;Panamá;1971;0
16;Reino Unido;1971;0
17;Uruguai;1971;0
18;Venezuela;1971;511
19;Não consta na tabela;1971;0
20;Outros;1971;0
1;Argélia;1972;0
2;Argentina;1972;1965010
3;Brasil;1972;0
4;Chile;1972;1680664
5;Colômbia;1972;0
6;Egito;1972;0
7;Espanha;1972;617898
8;Estados Unidos;1972;17250
9;Grécia;1972;58500
10;Itália;1972;0
11;México;1972;0
12;Peru;1972;0
13;Paraguai;1972;0
14;Portugal;1972;1000
15;Panamá;1972;50
16;Reino Unido;1972;120
17;Uruguai;1972;0
18;Venezuela;1972;3357
19;Não consta na tabela;1972;0
