Id;País;ano;Quantidade (Kg)
1;Afeganistão;1970;0
2;África do Sul;1970;0
3;Alemanha, República Democrática;1970;0
4;Arábia Saudita;1970;0
5;Argentina;1970;1530058
6;Austrália;1970;0
7;Bélgica;1970;0
8;Chile;1970;4000
9;China;1970;0
10;China Continental;1970;0
11;Cingapura;1970;0
12;Costa Rica;1970;0
13;Emirados;1970;0
14;Egito;1970;0
15;Espanha;1970;20000
16;Estados Unidos;1970;415210
17;França;1970;0
18;Grécia;1970;178475
19;Guiana Britânica;1970;334
20;Índia;1970;0
21;Irã;1970;0
22;Itália;1970;33600
23;Japão;1970;0
24;México;1970;170172
25;Países Baixos;1970;104
26;Paraguai;1970;0
27;Peru;1970;0
28;Portugal;1970;0
29;Reino Unido;1970;39
30;Suécia;1970;12000
31;Turquia;1970;124832
32;Uruguai;1970;0
33;Uzbequistão;1970;0
34;Venezuela;1970;0
35;Não consta na tabela;1970;0
36;Outros;1970;0
1;Afeganistão;1970;0
2;África do Sul;1970;0
3;Alemanha, República Democrática;1970;0
4;Arábia Saudita;1970;0
5;Argentina;1970;845068
6;Austrália;1970;0
7;Bélgica;1970;0
8;Chile;1970;1040
9;China;1970;0
10;China Continental;1970;0
11;Cingapura;1970;0
12;Costa Rica;1970;0
13;Emirados;1970;0
14;Egito;1970;0
15;Espanha;1970;9584
16;Estados Unidos;1970;305494
17;França;1970;0
18;Grécia;1970;56586
19;Guiana Britânica;1970;202
20;Índia;1970;0
21;Irã;1970;0
22;Itália;1970;11396
23;Japão;1970;0
24;México;1970;100310
25;Países Baixos;1970;91
26;Paraguai;1970;0
27;Peru;1970;0
28;Portugal;1970;0
29;Reino Unido;1970;29
30;Suécia;1970;3866
31;Turquia;1970;41962
32;Uruguai;1970;0
33;Uzbequistão;1970;0
34;Venezuela;1970;0
35;Não consta na tabela;1970;0
36;Outros;1970;0
1;Afeganistão;1971;0
2;África do Sul;1971;0
3;Alemanha, República Democrática;1971;0
4;Arábia Saudita;1971;0
5;Argentina;1971;1206326
6;Austrália;1971;0
7;Bélgica;1971;0
8;Chile;1971;0
9;China;1971;0
10;China Continental;1971;0
11;Cingapura;1971;0
12;Costa Rica;1971;0
13;Emirados;1971;0
14;Egito;1971;0
15;Espanha;1971;15000
16;Estados Unidos;1971;429346
17;França;1971;0
18;Grécia;1971;302825
19;Guiana Britânica;1971;0
20;Índia;1971;0
21;Irã;1971;0
22;Itália;1971;27860
23;Japão;1971;7221
24;México;1971;209257
25;Países Baixos;1971;0
26;Paraguai;1971;0
27;Peru;1971;0
28;Portugal;1971;0
29;Reino Unido;1971;211
30;Suécia;1971;0
31;Turquia;1971;306025
32;Uruguai;1971;0
33;Uzbequistão;1971;0
34;Venezuela;1971;0
35;Não consta na tabela;1971;0
36;Outros;1971;0
1;Afeganistão;1971;0
2;África do Sul;1971;0
3;Alemanha, República Democrática;1971;0
4;Arábia Saudita;1971;0
5;Argentina;1971;936632
6;Austrália;1971;0
7;Bélgica;1971;0
8;Chile;1971;0
9;China;1971;0
10;China Continental;1971;0
11;Cingapura;1971;0
12;Costa Rica;1971;0
13;Emirados;1971;0
14;Egito;1971;0
15;Espanha;1971;14403
16;Estados Unidos;1971;292067
17;França;1971;0
18;Grécia;1971;95349
19;Guiana Britânica;1971;0
20;Índia;1971;0
21;Irã;1971;0
22;Itália;1971;7104
23;Japão;1971;4458
24;México;1971;129483
25;Países Baixos;1971;0
26;Paraguai;1971;0
27;Peru;1971;0
28;Portugal;1971;0
29;Reino Unido;1971;174
30;Suécia;1971;0
31;Turquia;1971;88018
32;Uruguai;1971;0
33;Uzbequistão;1971;0
34;Venezuela;1971;0
35;Não consta na tabela;1971;0
36;Outros;1971;0
1;Afeganistão;1972;0
2;África do Sul;1972;0
3;Alemanha, República Democrática;1972;3000
4;Arábia Saudita;1972;0
5;Argentina;1972;1047482
6;Austrália;1972;89025
7;Bélgica;1972;0
8;Chile;1972;0
9;China;1972;0
10;China Continental;1972;0
11;Cingapura;1972;0
12;Costa Rica;1972;0
13;Emirados;1972;0
14;Egito;1972;0
15;Espanha;1972;57208
16;Estados Unidos;1972;411443
17;França;1972;0
18;Grécia;1972;369763
19;Guiana Britânica;1972;0
20;Índia;1972;0
21;Irã;1972;0
22;Itália;1972;70000
23;Japão;1972;0
24;México;1972;150827
25;Países Baixos;1972;0
26;Paraguai;1972;0
27;Peru;1972;0
28;Portugal;1972;0
29;Reino Unido;1972;276
30;Suécia;1972;0
31;Turquia;1972;556402
32;Uruguai;1972;0
33;Uzbequistão;1972;0
34;Venezuela;1972;0
35;Não consta na tabela;1972;0
36;Outros;1972;0
1;Afeganistão;1972;0
2;África do Sul;1972;0
3;Alemanha, República Democrática;1972;3366
4;Arábia Saudita;1972;0
5;Argentina;1972;981648
6;Austrália;1972;52819
7;Bélgica;1972;0
8;Chile;1972;0
9;China;1972;0
10;China Continental;1972;0
11;Cingapura;1972;0
12;Costa Rica;1972;0
13;Emirados;1972;0
14;Egito;1972;0
15;Espanha;1972;59951
16;Estados Unidos;1972;456999
17;França;1972;0
18;Grécia;1972;134178
19;Guiana Britânica;1972;0
20;Índia;1972;0
21;Irã;1972;0
22;Itália;1972;20790
23;Japão;1972;0
24;México;1972;120736
25;Países Baixos;1972;0
26;Paraguai;1972;0
27;Peru;1972;0
28;Portugal;1972;0
29;Reino Unido;1972;249
30;Suécia;1972;0
31;Turquia;1972;169087
32;Uruguai;1972;0
33;Uzbequistão;1972;0
34;Venezuela;1972;0
35;Não consta na tabela;1972;0
36;Outros;1972;0
1;Afeganistão;1973;0
2;África do Sul;1973;0
3;Alemanha, República Democrática;1973;0
4;Arábia Saudita;1973;0
5;Argentina;1973;1277380
6;Austrália;1973;0
7;Bélgica;1973;0
8;Chile;1973;59747
9;China;1973;0
10;China Continental;1973;25000
11;Cingapura;1973;0
12;Costa Rica;1973;0
13;Emirados;1973;0
14;Egito;1973;0
15;Espanha;1973;144000
16;Estados Unidos;1973;538195
17;França;1973;0
18;Grécia;1973;132420
19;Guiana Britânica;1973;0
20;Índia;1973;0
21;Irã;1973;0
22;Itália;1973;59136
23;Japão;1973;0
24;México;1973;28906
25;Países Baixos;1973;0
26;Paraguai;1973;0
27;Peru;1973;0
28;Portugal;1973;0
29;Reino Unido;1973;0
30;Suécia;1973;0
31;Turquia;1973;324242
32;Uruguai;1973;0
33;Uzbequistão;1973;0
34;Venezuela;1973;256
35;Não consta na tabela;1973;0
36;Outros;1973;0
1;Afeganistão;1973;0
2;África do Sul;1973;0
3;Alemanha, República Democrática;1973;0
4;Arábia Saudita;1973;0
5;Argentina;1973;1848195
6;Austrália;1973;0
7;Bélgica;1973;0
8;Chile;1973;66242
9;China;1973;0
10;China Continental;1973;5210
11;Cingapura;1973;0
12;Costa Rica;1973;0
13;Emirados;1973;0
14;Egito;1973;0
15;Espanha;1973;170234
16;Estados Unidos;1973;700181
17;França;1973;0
18;Grécia;1973;180586
19;Guiana Britânica;1973;0
20;Índia;1973;0
21;Irã;1973;0
22;Itália;1973;25428
23;Japão;1973;0
24;México;1973;24653
25;Países Baixos;1973;0
26;Paraguai;1973;0
27;Peru;1973;0
28;Portugal;1973;0
29;Reino Unido;1973;0
30;Suécia;1973;0
31;Turquia;1973;276922
32;Uruguai;1973;0
33;Uzbequistão;1973;0
34;Venezuela;1973;686
35;Não consta na tabela;1973;0
36;Outros;1973;0
1;Afeganistão;1974;0
2;África do Sul;1974;0
3;Alemanha, República Democrática;1974;0
4;Arábia Saudita;1974;0
5;Argentina;1974;1004987
6;Austrália;1974;88754
7;Bélgica;1974;0
8;Chile;1974;0
9;China;1974;0
10;China Continental;1974;0
11;Cingapura;1974;0
12;Costa Rica;1974;0
13;Emirados;1974;0
14;Egito;1974;0
15;Espanha;1974;9500
16;Estados Unidos;1974;953941
17;França;1974;0
18;Grécia;1974;139103
19;Guiana Britânica;1974;0
20;Índia;1974;0
21;Irã;1974;0
22;Itália;1974;69650
23;Japão;1974;0
24;México;1974;40000
25;Países Baixos;1974;0
26;Paraguai;1974;0
27;Peru;1974;0
28;Portugal;1974;0
29;Reino Unido;1974;0
30;Suécia;1974;0
31;Turquia;1974;116338
32;Uruguai;1974;0
33;Uzbequistão;1974;0
34;Venezuela;1974;561
35;Não consta na tabela;1974;0
36;Outros;1974;0
1;Afeganistão;1974;0
2;África do Sul;1974;0
3;Alemanha, República Democrática;1974;0
4;Arábia Saudita;1974;0
5;Argentina;1974;1154210
6;Austrália;1974;88567
7;Bélgica;1974;0
8;Chile;1974;0
9;China;1974;0
10;China Continental;1974;0
11;Cingapura;1974;0
12;Costa Rica;1974;0
13;Emirados;1974;0
14;Egito;1974;0
15;Espanha;1974;14640
16;Estados Unidos;1974;1447142
17;França;1974;0
18;Grécia;1974;149364
19;Guiana Britânica;1974;0
20;Índia;1974;0
21;Irã;1974;0
22;Itália;1974;41790
23;Japão;1974;0
24;México;1974;60896
25;Países Baixos;1974;0
26;Paraguai;1974;0
27;Peru;1974;0
28;Portugal;1974;0
29;Reino Unido;1974;0
30;Suécia;1974;0
31;Turquia;1974;118050
32;Uruguai;1974;0
33;Uzbequistão;1974;0
34;Venezuela;1974;1236
35;Não consta na tabela;1974;0
36;Outros;1974;0
1;Afeganistão;1975;0
2;África do Sul;1975;72000
3;Alemanha, República Democrática;1975;29988
4;Arábia Saudita;1975;0
5;Argentina;1975;1583972
6;Austrália;1975;66750
7;Bélgica;1975;0
8;Chile;1975;555818
9;China;1975;0
10;China Continental;1975;0
11;Cingapura;1975;0
12;Costa Rica;1975;0
13;Emirados;1975;0
14;Egito;1975;0
15;Espanha;1975;7500
16;Estados Unidos;1975;494268
17;França;1975;0
18;Grécia;1975;28335
19;Guiana Britânica;1975;0
20;Índia;1975;0
21;Irã;1975;5
22;Itália;1975;150000
23;Japão;1975;0
24;México;1975;234900
25;Países Baixos;1975;0
26;Paraguai;1975;20000
27;Peru;1975;0
28;Portugal;1975;0
29;Reino Unido;1975;0
30;Suécia;1975;0
31;Turquia;1975;7000
32;Uruguai;1975;0
33;Uzbequistão;1975;0
34;Venezuela;1975;2240
35;Não consta na tabela;1975;0
36;Outros;1975;0
1;Afeganistão;1975;0
2;África do Sul;1975;54360
3;Alemanha, República Democrática;1975;2283
